Time,Name
19:06,碰碰
19:07,碰碰🍤🍤
19:09,也
19:10,風
19:11,🔩🔩🔩🔩🔩🔩
19:14,Qiana
19:14,Luna
19:16,咘
19:16,大
19:22,Anton
19:25,N*
19:25,nz
19:27,Tina
19:30,勛
19:30,2
19:32,張宸愷
19:34,晨
19:36,Sunny727
19:36,11112333
19:37,.菊
19:40,Chia
19:48,薄餅哥
19:48,爆米花
19:48,七彩大蟑螂
19:50,Eddy
19:54,Basi
19:54,再睡一夏
19:55,Hiin
20:03,YOUHSUN
20:08,#NAME?
20:09,QQ
20:10,阿秉
20:13,ㄌ
20:21,臭布布
20:22,ch
20:24,Pong
20:25,牛來運轉
20:29,Cyccc
20:34,James
20:38,Hsuan🐶🐶
20:41,校狗5號
20:42,林00
20:44,馬卡比比
20:45,H4275Yu Shan
20:46,伊勒挫
20:46,請阿牛吃一頓好的
20:48,阿牛我來拯救你
20:49,儒
20:49,旺旺隊
20:50,阿來
20:50,Tong.
20:53,Y.
20:53,沒有我找不到的狗
20:56,銘
20:59,狗狗快回家
21:00,(｡ ́︿ ̀｡)
21:00,樟
21:01,凃
21:01,努力尋找中💪🏻
21:01,Hsueh
21:02,阿金
21:04,PSG
21:12,YUE
21:12,Chiao
21:14,🍋檸檬
21:14,采妹
21:17,曹阿瞞
21:19,占
21:21,堂
21:22,Lun
21:25,晴
21:28,☁️☁️
21:31,漢堡包
21:33,豬豬
21:34,藍藍
21:36,S00
21:37,曹孟德
21:40,阿牛快來
21:42,Li_
21:44,190
21:50,Taxi
21:54,卡肉
21:59,阿牛快回家！
22:00,…
22:01,Ting☁️
22:04,❗️
22:05,M婷
22:06,jjjjj
22:13,好
22:16,tong2
22:19,王求
22:24,根
22:25,RN
22:31,葳葳
22:34,Daniel
22:35,yuan
22:37,阿牛等我
22:37,啾啾
22:38,KaiiiIi
22:38,Lal
22:39,修
22:42,pp
22:48,HARU媽媽
22:49,Yirou
22:55,10萬獎金挑戰者
22:59,。
22:59,胡西正
23:00,C🌷
23:01,阿寶
23:12,Xsuxnn
23:16,可樂醬
23:24,Ball
23:28,想成為高山的高山
23:34,星⭐️
23:34,Ming
23:34,ALynn
23:49,1234567890
23:53,卉
23:57,龜山島人
00:00,寧！！
00:02,黃
00:02,狐狸
00:03,Gini
00:05,阿樂
00:06,Lpppp
00:10,#NAME?
00:12,Pei
00:12,預言家
00:13,媛
00:13,凱西
00:16,阿牛阿牛快回家
00:20,朝陽承
00:21,茉茉
00:21,傑.
00:23,Kiki-Baba
00:23,Jhe
00:30,Ypc
00:30,陳陳
00:31,Haha
00:33,萊恩
00:37,QQQQ
00:43,凡凡
00:48,28
00:49,LarryLiang
01:03,寶
01:05,AT3045 ㄚ智
01:10,葉子的葉
01:11,潔.
01:16,安柏
01:18,Annie
01:20,小C qw6356
01:20,菲原漢
01:22,小郭
01:31,Zu
01:44,Z
01:52,Peony
01:52,柔柔
01:55,Leo
02:00,riccvg
02:04,朝陽承
02:23,努力搜尋阿牛
02:25,大泓紘
02:25,Jingyu
02:25,煞氣欸
